Width,Color,Steering_angle_difference
4.00,172.00,1.07
4.00,173.00,1.44
4.00,174.00,1.12
4.00,175.00,1.06
4.00,176.00,1.38
4.00,177.00,1.14
4.00,178.00,0.95
4.00,179.00,0.85
4.00,180.00,1.12
4.00,181.00,0.90
4.00,182.00,1.00
4.00,183.00,1.24
4.00,184.00,1.10
4.00,185.00,1.17
4.00,186.00,0.74
4.00,187.00,1.19
4.00,188.00,1.21
4.00,189.00,1.45
4.00,190.00,1.06
4.00,191.00,1.20
4.00,192.00,1.34
4.00,193.00,1.08
4.00,194.00,1.21
4.00,195.00,1.25
4.00,196.00,1.26
4.00,197.00,0.98
4.00,198.00,1.25
4.00,199.00,1.24
4.00,200.00,1.15
4.00,201.00,1.38
4.00,202.00,0.79
4.00,203.00,1.10
4.00,204.00,0.87
4.00,205.00,1.00
4.00,206.00,1.13
4.00,207.00,1.15
4.00,208.00,1.13
4.00,209.00,1.21
4.00,210.00,1.28
4.00,211.00,0.97
4.00,212.00,0.98
4.00,213.00,1.10
4.00,214.00,1.09
4.00,215.00,1.19
4.00,216.00,1.05
4.00,217.00,0.82
4.00,218.00,0.98
4.00,219.00,1.20
4.00,220.00,0.74
4.00,221.00,0.91
4.00,222.00,1.21
4.00,223.00,1.27
4.00,224.00,1.20
4.00,225.00,1.35
4.00,226.00,1.11
4.00,227.00,0.97
4.00,228.00,0.95
4.00,229.00,1.06
4.00,230.00,1.13
4.00,231.00,1.15
4.00,232.00,1.30
4.00,233.00,1.39
4.00,234.00,1.34
4.00,235.00,1.01
4.00,236.00,0.74
4.00,237.00,1.21
4.00,238.00,1.20
4.00,239.00,1.12
4.00,240.00,1.13
4.00,241.00,1.22
4.00,242.00,1.25
4.00,243.00,0.94
4.00,244.00,0.86
4.00,245.00,0.66
4.00,246.00,1.27
4.00,247.00,0.98
4.00,248.00,1.66
4.00,249.00,1.06
4.00,250.00,1.63
4.00,251.00,1.17
4.00,252.00,1.24
4.00,253.00,1.31
4.00,254.00,1.10
5.00,0.00,-1.11
5.00,1.00,-0.45
5.00,2.00,-0.84
5.00,3.00,8.10
5.00,4.00,-0.77
5.00,5.00,-0.66
5.00,6.00,-0.64
5.00,7.00,-1.03
5.00,8.00,10.30
5.00,9.00,-0.74
5.00,10.00,-0.82
5.00,11.00,-0.87
5.00,12.00,-1.36
5.00,13.00,-0.74
5.00,14.00,-0.78
5.00,15.00,-0.74
5.00,16.00,-1.45
5.00,17.00,-0.93
5.00,18.00,-1.12
5.00,19.00,-0.89
5.00,20.00,-0.91
5.00,21.00,-0.70
5.00,22.00,-0.81
5.00,23.00,-0.77
5.00,24.00,-0.76
5.00,25.00,-0.57
5.00,26.00,9.76
5.00,27.00,-1.23
5.00,28.00,-1.40
5.00,29.00,-0.88
5.00,30.00,-0.90
5.00,31.00,-0.63
5.00,32.00,-1.44
5.00,33.00,-1.39
5.00,34.00,-0.45
5.00,35.00,-0.80
5.00,36.00,-1.19
5.00,37.00,-1.52
5.00,38.00,-1.38
5.00,39.00,-1.76
5.00,40.00,-1.29
5.00,41.00,-1.53
5.00,42.00,-0.87
5.00,43.00,-1.44
5.00,44.00,-1.65
5.00,45.00,-1.79
5.00,46.00,-1.58
5.00,47.00,-1.66
5.00,48.00,-1.41
5.00,49.00,-1.43
5.00,50.00,-1.23
5.00,51.00,-1.70
5.00,52.00,-1.57
5.00,53.00,-1.85
5.00,54.00,-1.37
5.00,55.00,-0.72
5.00,56.00,-1.31
5.00,57.00,-1.32
5.00,58.00,-1.35
5.00,59.00,-1.67
5.00,60.00,-1.23
5.00,61.00,-0.24
5.00,62.00,-1.52
5.00,63.00,-0.34
5.00,64.00,-0.51
5.00,65.00,-1.21
5.00,66.00,-1.20
5.00,67.00,-0.70
5.00,68.00,-1.96
5.00,69.00,-1.03
5.00,70.00,-0.55
5.00,71.00,-0.95
5.00,72.00,-0.64
5.00,73.00,-0.72
5.00,74.00,-0.81
5.00,75.00,-0.72
5.00,76.00,-0.87
5.00,77.00,-0.74
5.00,78.00,-0.53
5.00,79.00,-0.72
5.00,80.00,-0.10
5.00,81.00,-0.12
5.00,82.00,-0.09
5.00,83.00,-0.42
5.00,84.00,-0.40
5.00,85.00,-0.42
5.00,86.00,-0.05
5.00,87.00,-0.15
5.00,88.00,-0.22
5.00,89.00,-0.09
5.00,90.00,-0.47
5.00,91.00,-0.18
5.00,92.00,-0.32
5.00,93.00,-0.44
5.00,94.00,-0.27
5.00,95.00,-0.37
5.00,96.00,-0.30
5.00,97.00,-0.15
5.00,98.00,-0.38
5.00,99.00,-0.23
5.00,100.00,-0.04
5.00,101.00,0.07
5.00,102.00,-0.19
5.00,103.00,-0.25
5.00,104.00,-0.06
5.00,105.00,-0.04
5.00,106.00,0.00
5.00,107.00,-0.49
5.00,108.00,-0.03
5.00,109.00,-0.35
5.00,110.00,-0.82
5.00,111.00,-0.44
5.00,112.00,-0.10
5.00,113.00,-0.27
5.00,114.00,-0.55
5.00,115.00,-0.20
5.00,116.00,-0.21
5.00,117.00,-0.35
5.00,118.00,-0.18
5.00,119.00,0.01
5.00,120.00,-0.32
5.00,121.00,0.29
5.00,122.00,-0.04
5.00,123.00,0.07
5.00,124.00,-0.24
5.00,125.00,-0.20
5.00,126.00,0.35
5.00,127.00,0.33
5.00,128.00,0.21
5.00,129.00,0.18
5.00,130.00,0.29
5.00,131.00,0.44
5.00,132.00,0.42
5.00,133.00,0.45
5.00,134.00,0.33
5.00,135.00,0.05
5.00,136.00,0.70
5.00,137.00,0.72
5.00,138.00,0.53
5.00,139.00,0.52
5.00,140.00,0.67
5.00,141.00,0.31
5.00,142.00,0.61
5.00,143.00,0.58
5.00,144.00,1.09
5.00,145.00,0.54
5.00,146.00,1.00
5.00,147.00,1.02
5.00,148.00,0.98
5.00,149.00,0.89
5.00,150.00,1.01
5.00,151.00,1.08
5.00,152.00,0.95
5.00,153.00,1.21
5.00,154.00,0.99
5.00,155.00,1.16
5.00,156.00,0.87
5.00,157.00,0.87
5.00,158.00,1.04
5.00,159.00,0.91
5.00,160.00,1.31
5.00,161.00,1.34
5.00,162.00,1.12
5.00,163.00,1.34
5.00,164.00,1.14
5.00,165.00,0.98
5.00,166.00,1.20
5.00,167.00,1.28
5.00,168.00,1.39
5.00,169.00,1.20
5.00,170.00,1.55
5.00,171.00,1.67
5.00,172.00,1.47
5.00,173.00,1.31
5.00,174.00,1.52
5.00,175.00,1.24
5.00,176.00,1.30
5.00,177.00,1.41
5.00,178.00,0.97
5.00,179.00,1.02
5.00,180.00,0.88
5.00,181.00,0.99
5.00,182.00,1.23
5.00,183.00,0.79
5.00,184.00,0.99
5.00,185.00,1.05
5.00,186.00,1.26
5.00,187.00,1.26
5.00,188.00,1.25
5.00,189.00,1.34
5.00,190.00,1.13
5.00,191.00,1.24
5.00,192.00,1.23
5.00,193.00,1.09
5.00,194.00,1.20
5.00,195.00,1.08
5.00,196.00,0.98
5.00,197.00,1.56
5.00,198.00,0.88
5.00,199.00,1.24
5.00,200.00,1.13
5.00,201.00,1.38
5.00,202.00,1.34
5.00,203.00,1.26
5.00,204.00,1.25
5.00,205.00,0.92
5.00,206.00,1.19
5.00,207.00,1.37
5.00,208.00,1.06
5.00,209.00,1.23
5.00,210.00,1.34
5.00,211.00,1.23
5.00,212.00,1.13
5.00,213.00,1.08
5.00,214.00,1.17
5.00,215.00,0.99
5.00,216.00,1.32
5.00,217.00,0.92
5.00,218.00,1.03
5.00,219.00,1.15
5.00,220.00,1.23
5.00,221.00,1.27
5.00,222.00,1.11
5.00,223.00,1.17
5.00,224.00,1.51
5.00,225.00,1.10
5.00,226.00,1.17
5.00,227.00,1.11
5.00,228.00,1.07
5.00,229.00,1.42
5.00,230.00,1.12
5.00,231.00,1.35
5.00,232.00,1.18
5.00,233.00,1.28
5.00,234.00,1.23
5.00,235.00,1.17
5.00,236.00,1.01
5.00,237.00,1.17
